# Portcard          Module                     AOH channel
FPix_BmO_D2_PRT3        FPix_BmO_D2_BLD8_PNL2        4
FPix_BmO_D2_PRT3        FPix_BmO_D2_BLD7_PNL1        5
FPix_BmO_D2_PRT3        FPix_BmO_D2_BLD7_PNL2        6
FPix_BmO_D1_PRT4        FPix_BmO_D1_BLD12_PNL1        1
FPix_BmO_D1_PRT4        FPix_BmO_D1_BLD12_PNL2        2
FPix_BmO_D1_PRT4        FPix_BmO_D1_BLD11_PNL1        3
FPix_BmO_D1_PRT4        FPix_BmO_D1_BLD11_PNL2        4
FPix_BmO_D1_PRT4        FPix_BmO_D1_BLD10_PNL1        5
FPix_BmO_D1_PRT4        FPix_BmO_D1_BLD10_PNL2        6
FPix_BmO_D2_PRT4        FPix_BmO_D2_BLD12_PNL1        1
FPix_BmO_D2_PRT4        FPix_BmO_D2_BLD12_PNL2        2
FPix_BmO_D2_PRT4        FPix_BmO_D2_BLD11_PNL1        3
FPix_BmO_D2_PRT4        FPix_BmO_D2_BLD11_PNL2        4
FPix_BmO_D2_PRT4        FPix_BmO_D2_BLD10_PNL1        5
FPix_BmO_D2_PRT4        FPix_BmO_D2_BLD10_PNL2        6
FPix_BpI_D1_PRT1        FPix_BpI_D1_BLD3_PNL1        1
FPix_BpI_D1_PRT1        FPix_BpI_D1_BLD3_PNL2        2
FPix_BpI_D1_PRT1        FPix_BpI_D1_BLD2_PNL1        3
FPix_BpI_D1_PRT1        FPix_BpI_D1_BLD2_PNL2        4
FPix_BpI_D1_PRT1        FPix_BpI_D1_BLD1_PNL1        5
FPix_BpI_D1_PRT1        FPix_BpI_D1_BLD1_PNL2        6
FPix_BpI_D2_PRT1        FPix_BpI_D2_BLD3_PNL1        1
FPix_BpI_D2_PRT1        FPix_BpI_D2_BLD3_PNL2        2
FPix_BpI_D2_PRT1        FPix_BpI_D2_BLD2_PNL1        3
FPix_BpI_D2_PRT1        FPix_BpI_D2_BLD2_PNL2        4
FPix_BpI_D2_PRT1        FPix_BpI_D2_BLD1_PNL1        5
FPix_BpI_D2_PRT1        FPix_BpI_D2_BLD1_PNL2        6
FPix_BpI_D1_PRT2        FPix_BpI_D1_BLD6_PNL1        1
FPix_BpI_D1_PRT2        FPix_BpI_D1_BLD6_PNL2        2
FPix_BpI_D1_PRT2        FPix_BpI_D1_BLD5_PNL1        3
FPix_BpI_D1_PRT2        FPix_BpI_D1_BLD5_PNL2        4
FPix_BpI_D1_PRT2        FPix_BpI_D1_BLD4_PNL1        5
FPix_BpI_D1_PRT2        FPix_BpI_D1_BLD4_PNL2        6
FPix_BpI_D2_PRT2        FPix_BpI_D2_BLD6_PNL1        1
FPix_BpI_D2_PRT2        FPix_BpI_D2_BLD6_PNL2        2
FPix_BpI_D2_PRT2        FPix_BpI_D2_BLD5_PNL1        3
FPix_BpI_D2_PRT2        FPix_BpI_D2_BLD5_PNL2        4
FPix_BpI_D2_PRT2        FPix_BpI_D2_BLD4_PNL1        5
FPix_BpI_D2_PRT2        FPix_BpI_D2_BLD4_PNL2        6
FPix_BpI_D1_PRT3        FPix_BpI_D1_BLD9_PNL1        1
FPix_BpI_D1_PRT3        FPix_BpI_D1_BLD9_PNL2        2
FPix_BpI_D1_PRT3        FPix_BpI_D1_BLD8_PNL1        3
FPix_BpI_D1_PRT3        FPix_BpI_D1_BLD8_PNL2        4
FPix_BpI_D1_PRT3        FPix_BpI_D1_BLD7_PNL1        5
FPix_BpI_D1_PRT3        FPix_BpI_D1_BLD7_PNL2        6
FPix_BpI_D2_PRT3        FPix_BpI_D2_BLD9_PNL1        1
FPix_BpI_D2_PRT3        FPix_BpI_D2_BLD9_PNL2        2
FPix_BpI_D2_PRT3        FPix_BpI_D2_BLD8_PNL1        3
FPix_BpI_D2_PRT3        FPix_BpI_D2_BLD8_PNL2        4
FPix_BpI_D2_PRT3        FPix_BpI_D2_BLD7_PNL1        5
FPix_BpI_D2_PRT3        FPix_BpI_D2_BLD7_PNL2        6
FPix_BpI_D1_PRT4        FPix_BpI_D1_BLD12_PNL1        1
FPix_BpI_D1_PRT4        FPix_BpI_D1_BLD12_PNL2        2
FPix_BpI_D1_PRT4        FPix_BpI_D1_BLD11_PNL1        3
FPix_BpI_D1_PRT4        FPix_BpI_D1_BLD11_PNL2        4
FPix_BpI_D1_PRT4        FPix_BpI_D1_BLD10_PNL1        5
FPix_BpI_D1_PRT4        FPix_BpI_D1_BLD10_PNL2        6
FPix_BpI_D2_PRT4        FPix_BpI_D2_BLD12_PNL1        1
FPix_BpI_D2_PRT4        FPix_BpI_D2_BLD12_PNL2        2
FPix_BpI_D2_PRT4        FPix_BpI_D2_BLD11_PNL1        3
FPix_BpI_D2_PRT4        FPix_BpI_D2_BLD11_PNL2        4
FPix_BpI_D2_PRT4        FPix_BpI_D2_BLD10_PNL1        5
FPix_BpI_D2_PRT4        FPix_BpI_D2_BLD10_PNL2        6
FPix_BpO_D1_PRT1        FPix_BpO_D1_BLD1_PNL1        1
FPix_BpO_D1_PRT1        FPix_BpO_D1_BLD1_PNL2        2
FPix_BpO_D1_PRT1        FPix_BpO_D1_BLD2_PNL1        3
FPix_BpO_D1_PRT1        FPix_BpO_D1_BLD2_PNL2        4
FPix_BpO_D1_PRT1        FPix_BpO_D1_BLD3_PNL1        5
FPix_BpO_D1_PRT1        FPix_BpO_D1_BLD3_PNL2        6
FPix_BpO_D2_PRT1        FPix_BpO_D2_BLD1_PNL1        1
FPix_BpO_D2_PRT1        FPix_BpO_D2_BLD1_PNL2        2
FPix_BpO_D2_PRT1        FPix_BpO_D2_BLD2_PNL1        3
FPix_BpO_D2_PRT1        FPix_BpO_D2_BLD2_PNL2        4
FPix_BpO_D2_PRT1        FPix_BpO_D2_BLD3_PNL1        5
FPix_BpO_D2_PRT1        FPix_BpO_D2_BLD3_PNL2        6
FPix_BpO_D1_PRT2        FPix_BpO_D1_BLD4_PNL1        1
FPix_BpO_D1_PRT2        FPix_BpO_D1_BLD4_PNL2        2
FPix_BpO_D1_PRT2        FPix_BpO_D1_BLD5_PNL1        3
FPix_BpO_D1_PRT2        FPix_BpO_D1_BLD5_PNL2        4
FPix_BpO_D1_PRT2        FPix_BpO_D1_BLD6_PNL1        5
FPix_BpO_D1_PRT2        FPix_BpO_D1_BLD6_PNL2        6
FPix_BpO_D2_PRT2        FPix_BpO_D2_BLD4_PNL1        1
FPix_BpO_D2_PRT2        FPix_BpO_D2_BLD4_PNL2        2
FPix_BpO_D2_PRT2        FPix_BpO_D2_BLD5_PNL1        3
FPix_BpO_D2_PRT2        FPix_BpO_D2_BLD5_PNL2        4
FPix_BpO_D2_PRT2        FPix_BpO_D2_BLD6_PNL1        5
FPix_BpO_D2_PRT2        FPix_BpO_D2_BLD6_PNL2        6
FPix_BpO_D1_PRT3        FPix_BpO_D1_BLD7_PNL1        1
FPix_BpO_D1_PRT3        FPix_BpO_D1_BLD7_PNL2        2
FPix_BpO_D1_PRT3        FPix_BpO_D1_BLD8_PNL1        3
FPix_BpO_D1_PRT3        FPix_BpO_D1_BLD8_PNL2        4
FPix_BpO_D1_PRT3        FPix_BpO_D1_BLD9_PNL1        5
FPix_BpO_D1_PRT3        FPix_BpO_D1_BLD9_PNL2        6
FPix_BpO_D2_PRT3        FPix_BpO_D2_BLD7_PNL1        1
FPix_BpO_D2_PRT3        FPix_BpO_D2_BLD7_PNL2        2
FPix_BpO_D2_PRT3        FPix_BpO_D2_BLD8_PNL1        3
FPix_BpO_D2_PRT3        FPix_BpO_D2_BLD8_PNL2        4
FPix_BpO_D2_PRT3        FPix_BpO_D2_BLD9_PNL1        5
FPix_BpO_D2_PRT3        FPix_BpO_D2_BLD9_PNL2        6
FPix_BpO_D1_PRT4        FPix_BpO_D1_BLD10_PNL1        1
FPix_BpO_D1_PRT4        FPix_BpO_D1_BLD10_PNL2        2
FPix_BpO_D1_PRT4        FPix_BpO_D1_BLD11_PNL1        3
FPix_BpO_D1_PRT4        FPix_BpO_D1_BLD11_PNL2        4
FPix_BpO_D1_PRT4        FPix_BpO_D1_BLD12_PNL1        5
FPix_BpO_D1_PRT4        FPix_BpO_D1_BLD12_PNL2        6
FPix_BpO_D2_PRT4        FPix_BpO_D2_BLD10_PNL1        1
FPix_BpO_D2_PRT4        FPix_BpO_D2_BLD10_PNL2        2
FPix_BpO_D2_PRT4        FPix_BpO_D2_BLD11_PNL1        3
FPix_BpO_D2_PRT4        FPix_BpO_D2_BLD11_PNL2        4
FPix_BpO_D2_PRT4        FPix_BpO_D2_BLD12_PNL1        5
FPix_BpO_D2_PRT4        FPix_BpO_D2_BLD12_PNL2        6
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR1H_MOD1  A 3
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR1H_MOD2  A 2
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR1H_MOD3  A 1
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR1H_MOD4  A 9
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR2F_MOD1  A 17
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR2F_MOD1  B 16
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR2F_MOD2  A 12
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR2F_MOD2  B 11
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR2F_MOD3  A 10
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR2F_MOD3  B 6
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR2F_MOD4  A 5
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR1_LDR2F_MOD4  B 4
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR1H_MOD1  A 14
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR1H_MOD2  A 15
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR1H_MOD3  A 7
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR1H_MOD4  A 8
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR2F_MOD1  A 13
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR2F_MOD1  B 21
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR2F_MOD2  A 20
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR2F_MOD2  B 19
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR2F_MOD3  A 24
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR2F_MOD3  B 23
BPix_BpI_SEC1_PRT1 BPix_BpI_SEC1_LYR2_LDR2F_MOD4  A 22
